Коды укрупненных групп специальностей.	Наименования укрупненных групп специальностей. Наименования специальностей	Квалификация(и) специалиста среднего звена	
23.00.00	ТЕХНИКА И ТЕХНОЛОГИИ НАЗЕМНОГО ТРАНСПОРТА		
23.02.2001	Организация перевозок и управление на транспорте (по видам)	Техник	
		Старший техник	
23.02.2002	Автомобиле- и тракторостроение	Техник	
		Специалист по автомобиле- и тракторостроению	
23.02.2003	Техническое обслуживание и ремонт автомобильного транспорта	Техник	
		Старший техник	
23.02.2004	"Техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования (по отраслям)"	Техник	
		Старший техник	
23.02.2005	"Эксплуатация транспортного электрооборудования и автоматики (по видам транспорта, за исключением водного)"	Техник-электромеханик	
23.02.2006	Техническая эксплуатация подвижного состава железных дорог	Техник	
		Старший техник	
23.02.2007	"Техническое обслуживание и ремонт двигателей, систем и агрегатов автомобилей"	Специалист	
24.00.00	АВИАЦИОННАЯ И РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА		
24.02.2001	Производство летательных аппаратов	Техник	
		Специалист производства летательных аппаратов	
24.02.2002	Производство авиационных двигателей	Техник	
		Специалист производства авиационных двигателей	
24.02.2003	Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655		
	См. предыдущую редакцию		
25.00.00	АЭРОНАВИГАЦИЯ И ЭКСПЛУАТАЦИЯ АВИАЦИОННОЙ И РАКЕТНО-КОСМИЧЕСКОЙ ТЕХНИКИ		
25.02.2001	Техническая эксплуатация летательных аппаратов и двигателей	Техник	
		Старший техник	
25.02.2002	Обслуживание летательных аппаратов горюче-смазочными материалами	Техник	
		Старший техник	
25.02.2003	Техническая эксплуатация электрифицированных и пилотажно-навигационных комплексов	Техник	
25.02.2004	Летная эксплуатация летательных аппаратов	Пилот	
25.02.2005	Управление движением воздушного транспорта	Диспетчер	
25.02.2006	Производство и обслуживание авиационной техники	Техник по производству авиационной техники	
		Техник по обслуживанию авиационной техники	
		Специалист по производству и обслуживанию авиационной техники	
25.02.2007	Техническое обслуживание авиационных двигателей	Техник	
25.02.2008	Эксплуатация беспилотных авиационных систем	Оператор беспилотных летательных аппаратов	
26.00.00	ТЕХНИКА И ТЕХНОЛОГИИ КОРАБЛЕСТРОЕНИЯ И ВОДНОГО ТРАНСПОРТА		
26.02.2001	Эксплуатация внутренних водных путей	Техник	
26.02.2002	Судостроение	Техник	
		Специалист по судостроению	
26.02.2003	Судовождение	Техник-судоводитель	
		Старший техник-судоводитель с правом эксплуатации судовых энергетических установок	
26.02.2004	Монтаж и техническое обслуживание судовых машин и механизмов	Техник	
26.02.2005	Эксплуатация судовых энергетических установок	Техник-судомеханик	
		Старший техник-судомеханик	
26.02.2006	Эксплуатация судового электрооборудования и средств автоматики	Техник-электромеханик	
27.00.00	УПРАВЛЕНИЕ В ТЕХНИЧЕСКИХ СИСТЕМАХ		
27.02.2001	Метрология	Техник	
27.02.2002	Техническое регулирование и управление качеством	Техник	
27.02.2003	Автоматика и телемеханика на транспорте (железнодорожном транспорте)	Техник	
		Старший техник	
27.02.2004	Автоматические системы управления	Техник	
		Старший техник	
27.02.2005	Системы и средства диспетчерского управления	Техник	
27.02.2006	Контроль работы измерительных приборов	Техник-метролог	
27.02.2007	"Управление качеством продукции, процессов и услуг (по отраслям)"	Техник	
29.00.00	ТЕХНОЛОГИИ ЛЕГКОЙ ПРОМЫШЛЕННОСТИ		
29.02.01	"Конструирование, моделирование и технология изделий из кожи"	Технолог-конструктор	
29.02.02	Технология кожи и меха	Техник-технолог	
29.02.03	"Конструирование, моделирование и технология изделий из меха"	Технолог-конструктор	
29.02.2004	"Конструирование, моделирование и технология швейных изделий"	Технолог-конструктор	
29.02.05	Технология текстильных изделий (по видам)	Техник-технолог	
29.02.06	Полиграфическое производство	Техник-технолог	
		Старший техник-технолог	
29.02.07	Производство изделий из бумаги и картона	Техник	
		Старший техник	
29.02.2008	Технология обработки алмазов	Техник-технолог	
		Старший техник-технолог	
29.02.09	Печатное дело	Техник-технолог	
ЗДРАВООХРАНЕНИЕ И МЕДИЦИНСКИЕ НАУКИ			
31.00.00	КЛИНИЧЕСКАЯ МЕДИЦИНА		
31.02.01	Лечебное дело	Фельдшер	
31.02.02	Акушерское дело	Акушерка/акушер	
31.02.03	Лабораторная диагностика	Медицинский лабораторный техник	
		Медицинский технолог	
31.02.04	Медицинская оптика	Медицинский оптик	
		Оптик-оптометрист	
31.02.05	Стоматология ортопедическая	Зубной техник	
31.02.06	Стоматология профилактическая	Гигиенист стоматологический	
32.00.00	НАУКИ О ЗДОРОВЬЕ И		
	ПРОФИЛАКТИЧЕСКАЯ		
	МЕДИЦИНА		
32.02.01	Медико-профилактическое дело	Санитарный фельдшер	
33.00.00	ФАРМАЦИЯ		
33.02.01	Фармация	Фармацевт	
34.00.00	СЕСТРИНСКОЕ ДЕЛО		
34.02.01	Сестринское дело	Медицинская сестра /	
		Медицинский брат	
34.02.02	Медицинский массаж (для обучения лиц с ограниченными возможностями здоровья по зрению)	Медицинская сестра по массажу /	
		Медицинский брат по массажу	
СЕЛЬСКОЕ ХОЗЯЙСТВО И СЕЛЬСКОХОЗЯЙСТВЕННЫЕ НАУКИ			
35.00.00	"СЕЛЬСКОЕ, ЛЕСНОЕ И РЫБНОЕ ХОЗЯЙСТВО"		
35.02.01	Лесное и лесопарковое хозяйство	Специалист лесного и лесопаркового хозяйства	
35.02.02	Технология лесозаготовок	Техник-технолог	
		Старший техник-технолог	
35.02.03	Технология деревообработки	Техник-технолог	
		Старший техник-технолог	
35.02.04	Технология комплексной переработки древесины	Техник-технолог	
		Старший техник-технолог	
35.02.05	Агрономия	Агроном	
		Старший агроном	
35.02.06	Технология производства и переработки сельскохозяйственной продукции	Технолог	
		Старший технолог	
35.02.07	Механизация сельского хозяйства	Техник-механик	
		Старший техник-механик	
35.02.08	Электрификация и автоматизация сельского хозяйства	Техник-электрик	
		Старший техник-электрик	
35.02.09	Ихтиология и рыбоводство	Техник-рыбовод	
		Старший техник-рыбовод	
35.02.10	Обработка водных биоресурсов	Техник-технолог	
		Старший техник-технолог	
35.02.11	Промышленное рыболовство	Техник	
		Старший техник	
35.02.12	Садово-парковое и ландшафтное строительство	Техник	
35.02.13	Пчеловодство	Техник-пчеловод	
35.02.14	Охотоведение и звероводство	Охотовед	
35.02.15	Кинология	Кинолог	
35.02.16	Эксплуатация и ремонт сельскохозяйственной техники и оборудования	Техник-механик	
		Старший техник-механик	
36.00.00	ВЕТЕРИНАРИЯ И ЗООТЕХНИЯ		
36.02.01	Ветеринария	Ветеринарный фельдшер	
		Старший ветеринарный фельдшер	
36.02.02	Зоотехния	Зоотехник	
		Старший зоотехник	
НАУКИ ОБ ОБЩЕСТВЕ			
38.00.00	ЭКОНОМИКА И УПРАВЛЕНИЕ		
38.02.01	Экономика и бухгалтерский учет (по отраслям)	Бухгалтер	
		"Бухгалтер, специалист по налогообложению"	
38.02.02	Страховое дело (по отраслям)	Специалист страхового дела	
38.02.03	Операционная деятельность в логистике	Операционный логист	
38.02.04	Коммерция (по отраслям)	Менеджер по продажам	
38.02.05	Товароведение и экспертиза качества потребительских товаров	Товаровед-эксперт	
38.02.06	Финансы	Финансист	
38.02.07	Банковское дело	Специалист банковского дела	
39.00.00	СОЦИОЛОГИЯ И СОЦИАЛЬНАЯ РАБОТА		
39.02.01	Социальная работа	Специалист по социальной работе	
39.02.02	Организация сурдокоммуникации	Сурдопереводчик	
40.00.00	ЮРИСПРУДЕНЦИЯ		
40.02.01	Право и организация социального обеспечения	Юрист	
40.02.02	Правоохранительная деятельность	Юрист	
40.02.03	Право и судебное администрирование	Специалист по судебному администрированию	
42.00.00	СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ И ИНФОРМАЦИОННО-БИБЛИОТЕЧНОЕ ДЕЛО		
42.02.01	Реклама	Специалист по рекламе	
42.02.02	Издательское дело	Специалист издательского дела	
		Редактор	
43.00.00	СЕРВИС И ТУРИЗМ		
43.02.01	Организация обслуживания в общественном питании	Менеджер	
43.02.02	Парикмахерское искусство	Технолог	
		Модельер-художник	
43.02.03	Стилистика и искусство визажа	Визажист-стилист	
43.02.04	Прикладная эстетика	Технолог-эстетист	
43.02.05	Флористика	Флорист	
43.02.06	Сервис на транспорте (по видам транспорта)	Специалист по сервису на транспорте	
43.02.07	Сервис по химической обработке изделий	Технолог	
43.02.08	Сервис домашнего и коммунального хозяйства	Специалист по домашнему и коммунальному хозяйству	
43.02.09	Утратила силу с 1 сентября 2020 г. - Приказ Минпросвещения России от 3 декабря 2019 г. № 655		
	См. предыдущую редакцию		
43.02.10	Туризм	Специалист по туризму	
43.02.11	Гостиничный сервис	Менеджер	
43.02.12	Технология эстетических услуг	Специалист в области прикладной эстетики	
43.02.13	Технология парикмахерского искусства	Парикмахер-модельер	
43.02.14	Гостиничное дело	Специалист по гостеприимству	
43.02.15	Поварское и кондитерское дело	Специалист по поварскому и кондитерскому делу	
ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ			
44.00.00	ОБРАЗОВАНИЕ И ПЕДАГОГИЧЕСКИЕ НАУКИ		
44.02.01	Дошкольное образование	Воспитатель детей дошкольного возраста	
		Воспитатель детей дошкольного возраста с дополнительной подготовкой (с указанием программы дополнительной подготовки)	
44.02.02	Преподавание в начальных классах	Учитель начальных классов	
		Учитель начальных классов с дополнительной подготовкой (с указанием программы дополнительной подготовки)	
44.02.03	Педагогика дополнительного образования	Педагог дополнительного образования (с указанием области деятельности)	
44.02.04	Специальное дошкольное образование	Воспитатель детей дошкольного возраста с отклонениями в развитии и с сохранным развитием	
		Воспитатель детей дошкольного возраста с отклонениями в развитии и с сохранным развитием и дополнительной подготовкой (с указанием программы дополнительной подготовки)	
44.02.05	Коррекционная педагогика в начальном образовании	Учитель начальных классов и начальных классов компенсирующего и коррекционно-развивающего образования	
		Учитель начальных классов и начальных классов компенсирующего и коррекционно-развивающего образования с дополнительной подготовкой (с указанием программы дополнительной подготовки)	
44.02.06	Профессиональное обучение (по отраслям)	"Мастер производственного обучения (техник, технолог, конструктор-модельер, дизайнер и др.)"	
ГУМАНИТАРНЫЕ НАУКИ			
46.00.00	ИСТОРИЯ И АРХЕОЛОГИЯ		
46.02.01	Документационное обеспечение управления и архивоведение	"Специалист по документационному обеспечению управления, архивист"	
49.00.00	ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ		
49.02.01	Физическая культура	Педагог по физической культуре и спорту	
		Тренер/Учитель физической культуры	
49.02.02	Адаптивная физическая культура	Педагог по адаптивной физической культуре и спорту / Учитель адаптивной физической культуры	
49.02.03	Спорт	Тренер по виду спорта	
ИСКУССТВО И КУЛЬТУРА			
50.00.00	ИСКУССТВОЗНАНИЕ		
50.02.01	Мировая художественная культура	"Специалист в области мировой художественной культуры, преподаватель"	
		"Специалист в области мировой художественной культуры, преподаватель, экскурсовод"	
51.00.00	КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ		
51.02.01	Народное художественное творчество (по видам)	"Руководитель любительского творческого коллектива, преподаватель"	
51.02.02	Социально-культурная деятельность (по видам)	Организатор социально-культурной деятельности	
		Менеджер социально-культурной деятельности	
51.02.03	Библиотековедение	Библиотекарь	
		"Библиотекарь, специалист по информационным ресурсам"	
52.00.00	СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО		
52.02.01	Искусство балета	Артист балета	
		"Артист балета, преподаватель"	
52.02.02	Искусство танца (по видам)	"Артист балета ансамбля песни и танца, танцевального коллектива, преподаватель"	
52.02.03	Цирковое искусство	"Артист цирка, преподаватель"	
52.02.04	Актерское искусство	"Актер, преподаватель"	
52.02.05	Искусство эстрады	"Артист эстрады, преподаватель"	
53.00.00	МУЗЫКАЛЬНОЕ ИСКУССТВО		
53.02.01	Музыкальное образование	"Учитель музыки,"	
		музыкальный руководитель	
53.02.02	Музыкальное искусство эстрады (по видам)	"Артист, преподаватель, руководитель эстрадного коллектива"	
53.02.03	Инструментальное исполнительство (по видам инструментов)	"Артист, преподаватель, концертмейстер) / Артист-инструменталист (концертмейстер), преподаватель"	
53.02.04	Вокальное искусство	"Артист-вокалист, преподаватель"	
53.02.05	Сольное и хоровое народное пение	"Артист-вокалист, преподаватель, руководитель народного коллектива"	
53.02.06	Хоровое дирижирование	"Дирижер хора, преподаватель"	
53.02.06	"Хоровое дирижирование с присвоением квалификаций хормейстер, преподаватель"	"Хормейстер, преподаватель"	
53.02.07	Теория музыки	"Преподаватель, организатор музыкально-просветительской деятельности"	
53.02.08	Музыкальное звукооператорское мастерство	Специалист звукооператорского мастерства	
53.02.09	Театрально-декорационное искусство (по видам)	Художник-технолог	
		Специалист по театрально-декорационному искусству	
54.00.00	ИЗОБРАЗИТЕЛЬНОЕ И ПРИКЛАДНЫЕ ВИДЫ ИСКУССТВ		
54.02.01	Дизайн (по отраслям)	Дизайнер	
		"Дизайнер, преподаватель"	
54.02.02	Декоративно-прикладное искусство и народные промыслы (по видам)	Художник народных художественных промыслов	
		"Художник-мастер, преподаватель"	
54.02.03	Художественное оформление изделий текстильной и легкой промышленности	Художник-технолог	
54.02.04	Реставрация	Художник-реставратор	
54.02.05	Живопись (по видам)	"Художник-живописец, преподаватель"	
54.02.05	"Живопись с присвоением квалификаций художник-живописец, преподаватель"	"Художник-живописец Художник-живописец, преподаватель"	
